MSFT  KO MO LMT MMM MRK MCD MDT LOW MS MET MON  KFT MA
0.04956 -0.004853 0.006632 0.010911 0.020858 0.007444 -0.011349 0.023077 0.046729 0.078301 0.009967 0.00578 -0.016418 0
0.00419 -0.014225 0.009777 -0.01255 -0.000542 -0.004636 -0.007215 0.004296 -0.017602 -0.004417 -0.011513 -0.00431 -0.001546 0
-0.025197 -0.013193 0.001894 0.00788 -0.011307 -0.010044 -0.012554 -0.00492 0.001298 -0.031943 0.004659 -0.010678 -0.012384 0
-0.008067 -0.003551 -0.007773 0.005801 -0.02333 -0.012792 0.00368 0.008169 -0.024378 -0.013016 0.003312 -0.004959 0.012226 0
-0.054938 0.022851 0.015033 -0.01003 -0.023888 -0.011915 0.000667 -0.015991 -0.029771 -0.028603 0.012876 -0.003225 0.011149 0
0.001932 -0.00246 -0.011264 0.012446 -0.00096 -0.013487 0.000333 -0.013218 0.019178 0.020076 -0.005867 0.003235 -0.012251 0
-0.016652 0.017054 0.011392 0.006021 0.004323 0.003072 0.024975 -0.002855 0.004032 -0.021556 -0.014754 -0.01202 0.024806 0
0.029234 0.019192 0.011681 -0.009975 0.004304 0.036753 -0.000975 -0.01013 -0.017938 -0.009387 -0.011647 0.002967 0.009077 0
-0.029789 -0.018632 -0.013196 -0.016373 -0.010476 -0.028804 -0.011382 -0.046496 -0.051254 -0.042738 -0.019192 0.013314 0.01949 0
-0.011067 0.004444 -0.016298 -0.014341 -0.030029 -0.022053 -0.014474 -0.002333 -0.08046 -0.029091 -0.028493 -0.02511 0 0
0.03935 0.004424 0.022727 -0.004417 0.01409 0.027994 -0.034713 -0.005145 -0.004375 0.017478 0.017668 -0.013178 -0.007353 0
-0.081105 0.008609 0.027622 0.146921 -0.066047 0.015885 -0.018672 -0.041843 -0.109228 -0.130879 -0.065625 -0.05129 -0.021333 0
0.026649 -0.014542 -0.01227 0.014789 -0.013724 0.017275 -0.013037 -0.021099 0.018675 -0.007059 -0.004088 0.015995 0 0
-0.008284 0.000606 -0.006211 -0.037668 -0.017952 -0.006588 0.017494 -0.022807 0.010031 -0.004976 -0.004104 0.007557 -0.015198 0
-0.057732 -0.023232 -0.011875 -0.010718 -0.023039 -0.014884 -0.039649 0.020774 -0.035616 -0.104072 -0.009741 0.026562 0.004012 0
-0.020686 -0.032058 -0.015813 -0.006123 -0.03698 -0.017203 -0.010596 -0.019095 -0.044744 0.065391 -0.046538 0.010655 -0.016293 0
0.046268 0.026282 0.014781 -0.004739 0.05392 -0.026027 -0.013294 0.04918 0.094424 0.061627 0.04881 -0.023795 0.046875 0
-0.013651 -0.000625 -0.006966 0.008571 0.015927 -0.024066 -0.014222 0.005127 0.035326 0.005875 0.021566 0.044739 -0.00597 0
-0.020078 -0.023125 -0.003827 -0.008499 0.002684 0.014411 -0.003417 -0.004129 0.000328 0.019393 0 -0.001477 0 0
-0.006167 0.00128 0.045668 0.030952 0.031377 0.045146 0.028571 0.038293 -0.002952 0.015586 0.04 -0.005915 0.006306 0
0.024219 -0.00213 -0.01449 0.010393 0.021701 0.00589 0.005185 0.021846 0.041118 0.046039 0.057692 0.00357 0.025664 0
0.012117 -0.016222 0.022365 -0.0032 -0.01565 0.025826 0.007001 0.011494 -0.036651 0.011866 -0.023569 0.008005 -0.013093 0
0.024329 0.001736 0.000608 0.031873 0.003613 0.001756 0.010611 0.005682 0.041325 0.003198 0 0 0.006781 0
