EMC DELL DD DOW EXC RTE DIS DVN
0.03012 0.000675 -0.010078 -0.026944 -0.015609 0.001526 -0.019785 -0.009458
0.015789 -0.008435 -0.002262 -0.019325 -0.015856 0.014224 -0.04344 0.005419
-0.01612 -0.002041 -0.023583 -0.086471 0.017615 0.029301 0.022477 -0.026181
0.005851 -0.011251 -0.000929 -0.026079 -0.002322 -0.002433 -0.018843 -0.026621
-0.063991 -0.028276 -0.02464 -0.105785 0.020948 0.008781 -0.022862 -0.010831
-0.006837 0.014194 0.007388 -0.022181 -0.002073 0.007012 0.005147 0.032029
-0.02378 -0.035339 -0.046605 -0.049527 -0.001038 0.004322 -0.045624 -0.022016
0.030769 0.050054 0.005211 0.045346 -0.022869 -0.002869 0.036098 -0.003255
-0.03607 -0.029361 0.004197 0.020928 -0.004043 0.005754 -0.001883 -0.008163
-0.056129 -0.049822 -0.0059 -0.016027 -0.016663 -0.032181 -0.004245 -0.013717
-0.004785 -0.000749 0.020524 0.004167 0.005649 0.002956 0.014211 0.048679
0.155907 0.023242 0.042888 0.056205 0.012314 -0.005894 -0.009808 0.03183
0.004159 0.041754 0.022073 0.032143 0.00064 -0.000741 0.027358 -0.008226
0.011834 -0.000703 -0.011139 -0.029412 0.00064 -0.009889 0.016529 -0.030586
-0.064328 -0.043279 -0.025747 0 -0.002984 -0.005743 -0.017615 -0.045455
0.03125 0.013976 0.017225 0.013904 0.026293 0.001256 -0.016092 0.022409
-0.006061 -0.002902 0.024588 0.038678 0.02562 0.032857 -0.015888 0.019726
-0.036585 -0.0251 -0.013357 0.000677 0.018075 0.001943 0.066002 0.012896
-0.061392 0.001493 -0.008031 -0.001015 0.007181 0.001454 -0.034298 -0.037135
0.003372 -0.010432 -0.021513 -0.026075 -0.003763 0.001452 0.005535 0.009642
-0.025538 0.004518 -0.002364 0.015299 -0.005964 -0.00145 -0.017431 -0.004093
-0.051034 -0.017991 -0.009479 0.005137 0.012 0.022023 0.052754 0.000274
0.044331 0.001908 0.02201 0.019421 0.000198 -0.004296 0.038581 0.01479
0.046625 0.020952 0.043071 0.016711 0.00494 -0.000719 0.02263 0.032659
-0.069149 0.001866 -0.001571 -0.016108 0.017696 -0.01727 -0.022965 -0.003398
0.035 0.01825 -0.003147 0.002339 -0.017968 0.006102 0.020086 0.027537
-0.040718 -0.019386 -0.011364 -0.006 -0.008335 -0.003154 0.015501 0.025523
-0.051079 -0.045132 0.032184 0.025151 0.006604 -0.009491 -0.014026 0.002987
0.004549 -0.046875 0.013586 -0.026169 -0.017694 0.001228 -0.043515 -0.011662
-0.003774 0.034426 0.018018 -0.000672 0.001417 -0.003681 0.064304 -0.00226
