ORCL PEP PG PFE OXY NKE NSC NOV NWSA NYX
0.084127 -0.005471 -0.000409 -0.006024 -0.030645 0.018519 0.021033 0.031002 0 0
0.009517 -0.008761 -0.027986 -0.005576 0.030366 -0.027171 -0.021848 0.088112 0 0
0.029732 0.004111 0.020927 0.018771 0.021397 0.00378 0.022336 0.005784 0 0
-0.021127 -0.004708 -0.006053 -0.018904 0.013439 -0.008368 -0.009363 -0.01278 0 0
-0.014388 0.006376 0.004014 -0.006341 0.00234 -0.013502 -0.032766 0.037541 0 0
0.043066 0.01962 0.011028 0.024791 0.021012 0.031865 0.078176 0.063007 0 0
0.047586 -0.017839 -0.010226 -0.035689 0.009527 -0.007047 0.025982 0.017606 0 0
-0.002004 -0.024898 -0.008954 0.014903 -0.012835 0.003548 -0.045936 0.002307 0 0
-0.033467 0.002512 -0.011537 0.012482 -0.029063 -0.008943 0.008642 -0.024741 0 0
0.034626 0.000417 -0.002531 -0.006526 0 -0.002518 0.0153 0.035398 0 0
-0.085676 0.005008 -0.010574 0.013382 0.016148 -0.002104 -0.051236 -0.002279 0 0
0.043924 -0.012666 0.007163 0.005042 -0.035659 0.004006 0.00953 -0.037693 0 0
0.019635 -0.004837 0.020626 0.011228 0.003617 0.01071 -0.021397 0.038576 0 0
0.028198 0.00803 0.009756 0.015828 0.020825 0.024725 0.005788 0.022857 0 0
0.004013 0.004193 -0.013112 -0.008139 -0.008238 -0.003852 0.060742 0.005028 0 0
-0.023318 0.007307 -0.001399 0.007268 -0.003956 -0.007124 0.009644 -0.027793 0 0
-0.048431 0.003109 0.012465 0.001164 0.012708 0.004305 0.01194 0.072041 0 0
-0.026523 0.006198 0.014663 -0.007208 0.026667 0.013268 0.035398 0.045333 0 0
-0.013255 -0.011294 -0.027948 -0.003045 -0.006875 -0.015915 -0.052422 0.021429 0 0
0.007463 0.012461 0.040673 -0.002819 -0.033077 -0.016172 0.001203 -0.064436 0 0
0.004444 -0.000821 -0.00566 -0.012956 0.00716 0.02705 0.00961 -0.011212 0 0
0.044985 -0.004516 0.029818 0.020048 0.023302 -0.007699 0.025672 -0.021598 0 0
0.01976 0.010518 0.000263 -0.012635 -0.030104 0.004083 0.024447 -0.005519 0 0
0.035294 -0.007959 0.012237 -0.005687 -0.000796 0.0061 0.018182 -0.028302 0 0
0.01738 0.002674 0.013909 0.008341 -0.001593 0.009903 -0.02846 -0.029126 0 0
0.023653 0.002667 0.00141 -0.004018 0.012764 -0.004603 0.025847 0.011765 0 0
-0.008344 0.003274 -0.018052 0.003797 -0.009453 0.00201 0.005039 0.038372 0 0
-0.004531 0.003467 0.007953 -0.004019 0.034592 -0.005819 -0.001671 0.06383 0 0
0.0013 -0.003659 -0.000517 -0.001662 -0.01422 -0.003633 -0.006696 0 0 0
-0.057143 0.008568 0.007636 0.012363 0.008187 0.012356 0.034832 0.037368 0 0
0.027548 0.01699 0.004752 -0.002114 -0.039056 0.031613 0.017372 -0.101979 0 0
-0.008713 -0.001193 0.000767 0.006371 -0.051912 0.017067 0.029883 -0.147458 0 0
-0.016227 -0.00916 0.005748 0.001876 0.018676 0.009725 0.015026 0.02717 0 0
0.021993 0.003215 -0.000762 0.010531 -0.005833 0.005477 -0.009188 0.064516 0 0
-0.020847 -0.004808 -0.002288 0 0.045683 0.005635 -0.012365 0.038788 0 0
-0.032967 -0.007045 -0.007643 0.010422 -0.011222 0.000187 0.003652 -0.049592 0 0
0.023437 0.001419 0.00706 0.000458 0.009323 -0.002801 0.006237 0.028238 0 0
0.022901 -0.0083 -0.003824 0.005727 -0.006827 -0.020787 0.003616 -0.021493 0 0
-0.02171 -0.011227 -0.01318 -0.006834 0.009705 -0.000574 0.001544 0.031117 0 0
-0.020804 0.000206 -0.014523 -0.009862 -0.018422 -0.009568 -0.001028 -0.029586 0 0
0.004957 0.001651 0.018947 0.007181 0.014688 -0.006955 -0.003601 0.025 0 0
-0.011276 0.002061 0.000258 -0.00391 0.005227 0.030934 0.001032 -0.004164 0 0
-0.023521 0.003084 -0.014975 0.008774 0.0148 -0.001887 -0.023724 0.017324 0 0
0.007299 -0.006355 0.000524 -0.005722 0.024832 0.001513 0 0.024662 0 0
0.113768 -0.000516 0.004716 0.002072 0.028077 0.033981 0.007924 0.059599 0 0
0.034483 -0.016977 -0.013038 -0.004594 -0.040404 0.028665 -0.015199 -0.055706 0 0
0.000629 0.002527 -0.003567 -0.005308 0.015748 -0.023074 0.015434 0.019473 0 0
-0.030798 -0.013025 0.017102 -0.040835 -0.032171 -0.011265 -0.009434 -0.00618 0 0
-0.020104 -0.008089 -0.000261 -0.023948 -0.00841 0.010658 -0.018519 -0.001696 0 0
-0.000662 0.010515 0.042373 -0.002726 -0.001212 -0.009091 -0.021024 -0.000566 0 0
-0.028477 0.002973 0.011882 -0.01839 -0.01577 0.008257 -0.007159 0.025496 0 0
-0.006817 0.005505 -0.012361 -0.001519 0.016845 -0.017873 -0.003328 0.025967 0 0
0.0151 -0.001895 -0.001252 0.022566 0.000404 -0.028598 0.04118 -0.015617 0 0
0.017579 -0.000422 0.019799 0.007687 0.016963 0.008985 0.014965 0.00547 0 0
-0.008638 0.042212 0.000983 0.011319 0.012311 0.034672 -0.019484 0.047878 0 0
-0.02882 -0.00567 -0.00577 0.007299 0.016085 -0.015016 0.004833 -0.024922 0 0
-0.007591 0.000407 -0.004322 -0.009662 0.009653 0.046663 -0.022982 0.031949 0 0
-0.002851 0.002647 -0.004712 -0.00561 0.009943 0.013321 0.0093 0.0258 0 0
-0.017365 0.004061 0.00299 -0.003679 0.015903 0.000876 -0.006504 0.049296 0 0
-0.007097 -0.001011 -0.004348 -0.006647 -0.006709 -0.00613 0.010911 -0.009108 0 0
0.005004 -0.007085 -0.007985 0.001239 0.010507 -0.004758 0.007555 0.018868 0 0
-0.017781 -0.007339 -0.004779 -0.013614 -0.014853 -0.004249 -0.018211 -0.021367 0 0
0.01231 0.009448 0.010995 0.001255 -0.000754 0.012091 0.013639 -0.042213 0 0
0.093705 -0.007325 -0.009625 -0.005013 -0.004527 -0.007379 0.055436 -0.034954 0 0
0.010464 -0.008813 -0.009845 -0.007557 0.008337 0.00885 0.038246 0.010499 0 0
0.002589 -0.00579 -0.011472 0.007614 -0.003382 0.003333 0.001965 0.001558 0 0
0.016785 -0.005824 0.002708 -0.002771 -0.015083 0.002798 -0.019608 -0.025934 0 0
0.062222 -0.003975 -0.007202 0.011619 -0.00268 -0.014124 -0.0205 -0.012247 0 0
-0.002391 0.011342 -0.003497 0.02397 -0.000384 0.008666 -0.001021 -0.027493 0 0
-0.025165 0.006231 0.00364 -0.009998 -0.024578 -0.028055 -0.030148 -0.058204 0 0
0.007375 -0.003715 0.019298 -0.00197 -0.000394 -0.01317 -0.02529 -0.017069 0 0
0.036608 0.007251 0.012071 -0.002715 0.014179 0.047532 0.01027 0.035928 0 0
-0.024132 0.000206 0.002762 -0.004454 -0.026796 -0.019197 -0.030498 -0.017919 0 0
0.038601 -0.000411 0.002516 -0.002486 -0.002793 0.020996 0.071744 0.008829 0 0
-0.042973 0.010286 0.001506 -0.000748 -0.015206 0.002963 -0.00103 0.021587 0 0
-0.032767 0.006312 -0.004887 0.017456 -0.008533 0.007819 0.016495 -0.003427 0 0
0.050816 -0.000202 -0.010325 0.02451 0.032377 0.002759 0.014199 0.048711 0 0
0.029791 0.003845 -0.010433 -0.007177 0.009528 0.009973 0.049 0.022951 0 0
-0.032408 -0.009677 0.017485 0.004819 0.002359 -0.002213 0.055291 0.009615 0 0
0.012582 -0.009976 0.000253 -0.003118 -0.003531 -0.006484 0.01626 -0.046032 0 0
-0.023669 -0.022209 -0.020718 -0.014193 -0.025197 -0.007385 -0.023111 -0.009983 0 0
0.007273 0.023554 0.009933 0.006589 0.012924 0.055363 0.017288 0.038095 0 0
0.038508 0.029176 0.043301 0.010182 0.034689 -0.017869 0.011211 0.028063 0 0
-0.050406 0.000599 0.010896 0.011519 0.008863 0.001836 -0.010643 -0.021522 0 0
-0.016473 0.003591 0.001574 -0.023725 -0.02521 -0.00933 -0.020619 -0.036481 0 0
-0.019231 0.010139 -0.000967 0.020413 0.003527 0.008914 -0.007323 -0.003341 0 0
0.014548 -0.033655 -0.001452 -0.016671 -0.000781 0.001834 -0.031812 0.018436 0 0
-0.007481 -0.010183 -0.004485 -0.029789 -0.008597 -0.000832 -0.004762 -0.048272 0 0
0.016332 -0.000617 -0.000487 0.015976 0 -0.01582 0.015311 0.036311 0 0
0.010507 0.007206 -0.004629 0.00516 0.017343 0.022673 0.02262 0.021135 0 0
-0.010398 0.002044 0.022519 0.0066 -0.012786 -0.004633 -0.00553 0.022876 0 0
-0.003708 0.01224 0.002154 0.000971 -0.00471 0.003989 -0.011585 -0.005325 0 0
0.012407 -0.004232 0.003702 -0.007058 0.013013 0.001324 -0.011721 0.022484 0 0
-0.050858 0.009512 0.011304 0.007598 -0.001168 -0.016038 0.010436 0.001047 0 0
-0.04519 -0.00822 -0.011648 -0.015325 -0.017927 -0.019661 -0.015023 -0.003138 0 0
0.048682 0.009096 0.011905 0.011611 -0.005556 0.003257 0.003813 -0.011018 0 0
-0.016119 -0.008814 -0.022353 -0.008547 0.010774 -0.017598 0.039886 0.023873 0 0
0.015727 0.014551 0.030084 0.012562 0.023687 0.033044 0.005479 0.020725 0 0
0.054194 0.008566 0.020678 -0.007054 0.01774 0.005724 0.000908 0.059391 0 0
0.011628 -0.00395 -0.009958 0.0049 0.010989 -0.005189 -0.004537 0.015812 0 0
-0.009679 0.003768 -0.011561 0.005607 0.002249 -0.015312 0.053783 -0.015094 0 0
0.015272 -0.002371 -0.008304 -0.00703 0.00374 0.00581 0.028979 0.001437 0 0
-0.037906 0.014851 0.032551 0.016602 0.027198 -0.00017 0.058848 0.009565 0 0
-0.145091 -0.005073 -0.006511 0.006004 0.015597 0.006627 0.04605 0.085741 0 0
