HON IBM JNJ HNZ HAL HPQ JPM INTC HD
0 -0.023529 -0.005751 -0.007101 0.053659 0.016048 -0.00028 0.023659 0.000412
0.071186 0.0076 -0.012589 -0.019309 0.243519 0.021209 0.004196 0.023112 -0.010923
0.03481 0.005151 -0.006719 -0.002674 0.067759 -0.00707 -0.025348 0.014458 -0.020629
-0.019878 -0.01034 0.002775 0.011455 -0.059275 -0.017801 -0.019434 0.007126 0.017021
-0.035881 -0.047619 -0.010898 -0.013976 0.040771 -0.051201 -0.06587 -0.036557 -0.016736
0.066667 0.024757 0.00035 0.004643 -0.046296 0.048711 0.031513 0.036108 0.044043
0.019721 0.02217 0.00542 0.007054 0.026886 0.006831 0.029945 0.034849 0.020787
0.002083 0.00102 0.001565 -0.000966 0.010909 -0.004975 -0.055507 -0.010559 -0.013775
-0.047803 -0.011111 -0.022396 -0.00677 -0.02446 0.001818 -0.049751 -0.019902 -0.0083
0.021515 -0.004682 -0.014385 -0.001947 -0.00885 -0.029492 -0.050393 -0.004709 0.002245
0.0058 0.004421 0.006847 -0.023171 -0.031994 -0.025245 0.014473 -0.026036 -0.00387
0.029438 -0.025509 0.010916 0.007491 0.006149 -0.002398 0.021399 -0.01853 -0.001227
-0.035672 0.010394 0.006904 -0.005204 0.065699 -0.019231 0.034919 0.0065 0.0174
0.000611 0.022764 0.002989 0.013951 0.077419 0.022059 0.023136 0.032288 0.016097
0.005805 -0.007543 0.004382 -0.002948 -0.031271 -0.003837 -0.010992 -0.017873 -0.003762
0.011543 0.014075 0.013787 0.002218 0.027472 0.010111 -0.039378 0.012436 0.018485
0.021021 -0.001666 -0.010501 0.004672 -0.020053 -0.004766 -0.001322 -0.001198 0.00605
-0.005074 -0.046343 -0.001047 0.009545 0.109823 -0.024904 -0.005296 -0.031494 -0.019981
