date  hour minute second price size
20100104 9 32 36 57.67 100
20100104 9 32 36 57.64 100
20100104 9 32 37 57.64 200
20100104 9 32 37 57.65 500
20100104 9 32 37 57.64 400
20100104 9 32 37 57.65 600
20100104 9 32 37 57.64 100
20100104 9 32 37 57.641 100
20100104 9 32 37 57.64 300
20100104 9 32 39 57.68 250
20100104 9 32 40 57.64 100
20100104 9 32 40 57.6505 500
20100104 9 32 42 57.68 100
20100104 9 32 48 57.67 200
20100104 9 32 48 57.68 100
20100104 9 32 48 57.68 100
20100104 9 32 49 57.68 100
20100104 9 32 49 57.69 100
20100104 9 32 49 57.67 100
20100104 9 32 51 57.68 400
20100104 9 32 51 57.67 100
20100104 9 32 51 57.68 100
20100104 9 32 55 57.69 100
20100104 9 32 55 57.67 100
20100104 9 32 55 57.69 200
20100104 9 32 56 57.69 100
20100104 9 32 56 57.6899 100
20100104 9 32 57 57.68 100
20100104 9 32 58 57.68 200
20100104 9 32 59 57.68 100
20100104 9 33 0 57.68 100
20100104 9 33 0 57.69 100
20100104 9 33 2 57.66 100
20100104 9 33 2 57.66 100
20100104 9 33 2 57.66 100
20100104 9 33 2 57.68 200
20100104 9 33 3 57.66 100
20100104 9 33 3 57.69 300
20100104 9 33 3 57.66 300
20100104 9 33 4 57.66 100
20100104 9 33 4 57.66 300
20100104 9 33 4 57.66 100
20100104 9 33 4 57.66 100
20100104 9 33 6 57.68 100
20100104 9 33 6 57.7 200
20100104 9 33 8 57.66 200
20100104 9 33 8 57.7 100
20100104 9 33 11 57.7 100
20100104 9 33 11 57.68 400
20100104 9 33 12 57.66 100
20100104 9 33 12 57.66 100
20100104 9 33 13 57.68 100
20100104 9 33 13 57.66 100
20100104 9 33 13 57.66 100
20100104 9 33 13 57.66 100
20100104 9 33 14 57.68 100
20100104 9 33 14 57.66 100
20100104 9 33 14 57.66 100
20100104 9 33 14 57.68 100
20100104 9 33 14 57.68 100
20100104 9 33 14 57.67 100
20100104 9 33 14 57.68 100
20100104 9 33 15 57.68 300
20100104 9 33 15 57.66 100
20100104 9 33 15 57.68 100
20100104 9 33 15 57.68 100
20100104 9 33 15 57.68 300
20100104 9 33 15 57.68 300
20100104 9 33 17 57.68 200
20100104 9 33 17 57.66 400
20100104 9 33 17 57.69 100
20100104 9 33 17 57.69 100
20100104 9 33 17 57.69 100
20100104 9 33 17 57.68 100
20100104 9 33 18 57.6701 500
20100104 9 33 19 57.68 100
