XOM UTX WAG XRX WMB WFC WY WMT VZ USB UPS UNH
0.028313 -0.001354 -0.002708 -0.050063 0.035007 0.004403 0.016801 0.037665 0.032741 0.007699 0.006178 -0.00846
0.014004 -0.007998 -0.001508 0.054018 0.039566 -0.003288 0.017402 0.00726 0.006806 0.025618 -0.000877 0.008532
0.000234 0 0.004532 -0.0125 0.015654 -0.00132 -0.004147 -0.001622 -0.001423 0.029798 -0.009658 -0.000154
-0.007489 -0.009565 0.00812 0.022785 0.001813 0.008588 0.006246 0.008482 -0.00196 0.005532 0.004078 0.023846
-0.015327 0.012693 0.00537 -0.012376 0.010558 0.005677 0.029828 0.000358 -0.033381 0.004655 0.003532 0.013073
-0.003831 -0.014169 -0.010386 0.018797 0.003284 0.01129 -0.006864 -0.015921 0.029363 0.002106 0.002112 -0.035894
0.003125 -0.001106 0.066567 0.02091 0.005653 0.003435 0.01816 0.017815 -0.022246 0.00042 -0.005268 -0.016154
-0.011263 -0.000415 0.009278 -0.006024 -0.00858 -0.000214 0.000167 -0.010716 -0.015046 0.005882 -0.00406 0.005317
-0.009937 0.003599 -0.004457 -0.008485 -0.022083 -0.012412 -0.015833 -0.016068 -0.007638 0.020468 -0.001418 -0.011977
0.012974 0.007585 0.007275 0.033007 -0.009765 -0.000217 -0.00525 0.010642 0.005632 0.023741 -0.003905 0.013539
-0.003142 -0.02231 -0.0025 -0.005917 -0.021572 -0.005202 -0.017535 -0.009986 -0.009707 -4e-04 -0.001247 -0.011028
-0.001697 0.01778 0.029518 -0.029762 0 -0.001534 0.000693 -0.006602 -0.005655 -0.014 -0.003747 -0.000471
0.009768 0.017607 0.009467 0.020859 0.019528 0.009436 0.003463 -0.010522 0.02237 -0.000406 0.004298 0.011628
0.001209 -0.013517 -0.016077 0.026442 -0.009577 0.013043 0.002416 -0.026119 -0.005377 0.004058 -0.001961 0.013824
-0.006039 -0.004111 -0.017157 -0.003513 0.007486 0.001073 0.01687 0.003065 0.000746 0.006467 -0.000715 0.003524
0.008505 -0.025317 0.011499 0.015276 0.006192 0.009218 -0.011004 -0.006875 -0.014531 -0.006024 -0.001609 -0.001527
-0.00506 0.038961 -0.001645 -0.00463 -0.006154 -0.016355 0.008045 -0.005962 0.007561 0.010909 -0.001612 0.015291
-0.01986 -0.025136 -0.010986 0.018605 -0.012074 -0.005183 0.000849 -0.017218 -0.015009 -0.01239 -0.000897 -0.011747
0.006919 0.025226 0.019161 -0.039954 -0.005014 0.022357 -0.00526 0.015551 0.015238 0.010117 -0.003411 0.007162
-0.008834 -0.019848 -0.032698 0.028537 -0.004094 0.004459 -0.003241 -0.031983 0 -0.014824 -0.003062 0.009835
0.007923 0.013523 0.011268 0.015029 0.009488 0.008666 -0.012491 0.006007 -0.014259 0.016267 0.001084 0.009589
0.004422 0.000686 -0.019499 -0.019362 0.011972 -0.003143 0.008144 -0.009952 -0.010278 -0.006403 0.002347 0.020332
0.019809 0.001235 0.02983 0.033682 0.021482 0.003784 0.020454 0.024326 0.002115 0.000805 0.011705 -0.009309
-0.015588 -0.003151 -0.025931 0.026966 0.007315 -0.004817 -0.012127 -0.010991 -0.014585 -0.014085 -0.008752 0.005726
-0.013155 -0.022815 -0.001699 0.032823 -0.016036 -0.014099 -0.013981 -0.005755 -0.01519 -0.009388 -0.001982 0.006277
-0.003209 -0.029536 -0.010496 -0.040254 0.010148 -0.01921 -0.014525 -0.018962 -0.011271 -0.004944 0.001625 0.004642
-0.005696 -0.022029 -0.000573 -0.004415 -0.019482 -0.002176 -0.003158 -0.031536 0.0046 -0.004969 -0.011716 -0.007509
0 0.013634 -0.01463 0.019956 0.010556 0.00349 -0.001056 0.009454 -0.004579 0.008739 0.007295 -0.009748
