nibm        vol       vix
-0.07671935 0.0303763 21.94
0.03104082 0.02870126 20.39
0.003132902 0.0363126 21.56
-0.03101502 0.03565714 22.41
-0.0392486 0.0336138 20.72
0.01153123 0.03311916 19.35
-0.01118027 0.03354395 19.19
-0.002805062 0.03184451 18.5
0.01457673 0.03020364 17.7
0.01191166 0.0284854 19.24
-0.006569374 0.02729589 20.05
-0.004158342 0.02605646 19.58
0.0149299 0.02466263 18.23
0.01234995 0.02331138 18.9
0.005865167 0.0225659 20.31
-0.007934439 0.02171524 20.39
0.02212803 0.02062802 20.61
0.02951738 0.01964749 19.98
-0.01524618 0.01994773 23.37
-0.01551403 0.02116395 23.89
0.01111049 0.02054452 22.61
0.01722042 0.02000089 24.16
0.01934287 0.01928545 23.51
0.01720415 0.01911349 23.72
0.01118937 0.01917273 24.45
-0.0126457 0.01901143 24.15
-0.007511716 0.01838444 25.02
-0.01265459 0.01782894 25.96
0.01567826 0.01703656 24.64
0.03470118 0.01660367 24.24
0.02442692 0.01658053 26.06
0.04033878 0.01932516 27.48
-0.0137234 0.01994764 27.23
0.01590786 0.02292749 26.98
-0.02091671 0.02205782 27.84
-0.02606728 0.02149665 28.42
-0.001390033 0.02132307 26.29
0.06305802 0.02172435 25.4
-0.01439292 0.02053534 27.11
-0.02775329 0.02805386 28.96
-0.04153054 0.02682227 29.42
0.03038911 0.02673948 27.11
0.02312636 0.02838896 28.25
0.01314806 0.02853138 30.22
-0.0094086 0.02794674 34.1
0.002885158 0.02672099 33.85
-0.02553421 0.02536721 32.94
0.02842828 0.02396946 35.03
-0.02405241 0.02398339 36.65
-0.01905627 0.02445701 35.45
0.0006942409 0.02426576 35.12
0.04983226 0.02365198 38.17
0.02139525 0.02234143 41.87
-0.03646307 0.02651209 44.92
0.002735739 0.02597589 39.86
0.04346925 0.02703688 39.27
-0.06951487 0.02553018 35.51
-0.008533486 0.0278755 31.33
0.0195519 0.03422917 31.92
0.03101606 0.03235135 32.03
0.005435747 0.03115733 36.95
0.02823796 0.03104437 41.29
-0.02853303 0.02932811 45.08
-0.02069732 0.02913673 42.03
-0.03466709 0.02887646 38.73
-0.003067291 0.02797219 36.33
0.0008353488 0.02852208 35.33
-0.001809362 0.0269116 37.05
-0.04114482 0.02539483 35.82
-0.0208697 0.02397277 32.36
-0.0365778 0.02605201 29.43
-0.03880909 0.02541618 28.81
0.01490046 0.02657808 28.61
0.00332753 0.02786656 29.59
-0.01214791 0.02674394 28.23
0.01958351 0.02526453 27.75
0.0122639 0.02412867 29.32
